Label,Id
LARCENY/THEFT,79269
LARCENY/THEFT,395490
STOLEN PROPERTY,55355
LARCENY/THEFT,616176
ROBBERY,489227
VANDALISM,115299
NON-CRIMINAL,23306
VEHICLE THEFT,431156
ASSAULT,273201
NON-CRIMINAL,627051
WARRANTS,856967
OTHER OFFENSES,725332
NON-CRIMINAL,476211
SUSPICIOUS OCC,221929
VANDALISM,551431
WARRANTS,644473
LARCENY/THEFT,495865
NON-CRIMINAL,12018
LARCENY/THEFT,93183
DRUG/NARCOTIC,269122
VEHICLE THEFT,517482
BURGLARY,23535
ROBBERY,380429
MISSING PERSON,353491
LARCENY/THEFT,476858
NON-CRIMINAL,424083
ASSAULT,313920
VANDALISM,599644
VEHICLE THEFT,582166
BURGLARY,551594
LARCENY/THEFT,847871
WARRANTS,493899
LARCENY/THEFT,875808
VANDALISM,28074
MISSING PERSON,627924
OTHER OFFENSES,129566
SECONDARY CODES,607912
ASSAULT,47209
BURGLARY,800552
MISSING PERSON,469168
ROBBERY,734648
DRUG/NARCOTIC,362378
LARCENY/THEFT,176140
VANDALISM,163398
LARCENY/THEFT,324019
OTHER OFFENSES,333872
LARCENY/THEFT,748572
DRUG/NARCOTIC,825452
DRUG/NARCOTIC,733737
SUSPICIOUS OCC,536643
VEHICLE THEFT,805743
FRAUD,140499
DRUG/NARCOTIC,600901
SUSPICIOUS OCC,682944
DRUG/NARCOTIC,869932
ASSAULT,476365
OTHER OFFENSES,695009
FRAUD,45463
MISSING PERSON,503756
ASSAULT,18083
SECONDARY CODES,569634
DRUG/NARCOTIC,730140
OTHER OFFENSES,84578
NON-CRIMINAL,844173
VANDALISM,343348
LARCENY/THEFT,774679
OTHER OFFENSES,536770
OTHER OFFENSES,376396
LARCENY/THEFT,144309
OTHER OFFENSES,108328
VEHICLE THEFT,676944
LARCENY/THEFT,74268
LARCENY/THEFT,708236
NON-CRIMINAL,283234
LARCENY/THEFT,836762
ASSAULT,540555
LARCENY/THEFT,748975
LARCENY/THEFT,325498
WARRANTS,313296
NON-CRIMINAL,392459
VEHICLE THEFT,692435
LARCENY/THEFT,746820
OTHER OFFENSES,170109
SUSPICIOUS OCC,108028
LARCENY/THEFT,626913
OTHER OFFENSES,464188
WARRANTS,159271
OTHER OFFENSES,694183
LARCENY/THEFT,325468
WEAPON LAWS,535380
NON-CRIMINAL,331805
DRUG/NARCOTIC,655184
NON-CRIMINAL,325590
BURGLARY,732723
ROBBERY,57784
VANDALISM,157905
BURGLARY,455949
VEHICLE THEFT,835992
NON-CRIMINAL,349119
BURGLARY,143050
VEHICLE THEFT,473376
LARCENY/THEFT,322335
RECOVERED VEHICLE,322899
MISSING PERSON,110457
VANDALISM,598155
OTHER OFFENSES,712231
LARCENY/THEFT,22729
NON-CRIMINAL,207150
SUSPICIOUS OCC,289503
LARCENY/THEFT,112463
LARCENY/THEFT,144093
ROBBERY,171484
VANDALISM,268424
NON-CRIMINAL,336728
DISORDERLY CONDUCT,626133
NON-CRIMINAL,160616
ROBBERY,635140
OTHER OFFENSES,389154
VANDALISM,573968
LARCENY/THEFT,480089
WARRANTS,855988
FRAUD,71572
BURGLARY,486959
ASSAULT,134305
WARRANTS,807756
LARCENY/THEFT,575117
FORGERY/COUNTERFEITING,849929
KIDNAPPING,216875
BURGLARY,143038
WARRANTS,551953
ASSAULT,22082
NON-CRIMINAL,124520
LARCENY/THEFT,581317
RUNAWAY,205629
LARCENY/THEFT,477091
ASSAULT,84328
DRUG/NARCOTIC,363879
NON-CRIMINAL,287595
SUSPICIOUS OCC,410637
WARRANTS,599855
OTHER OFFENSES,771846
ASSAULT,575603
VANDALISM,488560
SUSPICIOUS OCC,313849
LARCENY/THEFT,252390
VANDALISM,107823
OTHER OFFENSES,642958
NON-CRIMINAL,67092
MISSING PERSON,190004
WARRANTS,608703
BURGLARY,771173
NON-CRIMINAL,182396
DRUG/NARCOTIC,369895
ASSAULT,72090
VANDALISM,47322
ASSAULT,198461
LARCENY/THEFT,166225
VEHICLE THEFT,829455
BURGLARY,805283
ASSAULT,468155
BURGLARY,103785
TRESPASS,516713
LARCENY/THEFT,354065
NON-CRIMINAL,230814
VEHICLE THEFT,851766
LARCENY/THEFT,606835
VEHICLE THEFT,769626
OTHER OFFENSES,513773
SUSPICIOUS OCC,376669
VANDALISM,501077
VANDALISM,816675
KIDNAPPING,198495
LARCENY/THEFT,122479
FRAUD,475104
OTHER OFFENSES,482182
LARCENY/THEFT,844043
OTHER OFFENSES,126436
SUSPICIOUS OCC,124658
ASSAULT,786521
NON-CRIMINAL,447912
OTHER OFFENSES,289204
DRUG/NARCOTIC,361704
OTHER OFFENSES,474805
OTHER OFFENSES,557826
NON-CRIMINAL,632069
DRUG/NARCOTIC,800208
WARRANTS,565047
LARCENY/THEFT,803503
VANDALISM,231908
ROBBERY,806286
MISSING PERSON,528602
LARCENY/THEFT,875338
WARRANTS,870665
OTHER OFFENSES,713098
ASSAULT,513470
OTHER OFFENSES,763462
ASSAULT,674024
WARRANTS,736599
LARCENY/THEFT,359583
MISSING PERSON,560306
ASSAULT,468959
NON-CRIMINAL,44987
BURGLARY,787351
VEHICLE THEFT,743628
VEHICLE THEFT,300120
LARCENY/THEFT,770985
NON-CRIMINAL,96216
ASSAULT,762162
VEHICLE THEFT,39696
OTHER OFFENSES,525224
WARRANTS,866415
LARCENY/THEFT,477923
NON-CRIMINAL,326405
LARCENY/THEFT,302382
WARRANTS,815987
OTHER OFFENSES,716616
ROBBERY,777506
VEHICLE THEFT,641059
VEHICLE THEFT,866008
MISSING PERSON,266906
WARRANTS,580075
WARRANTS,627322
NON-CRIMINAL,656724
OTHER OFFENSES,872891
BAD CHECKS,841044
OTHER OFFENSES,531444
OTHER OFFENSES,714934
FORGERY/COUNTERFEITING,661611
LARCENY/THEFT,74143
OTHER OFFENSES,701622
DRUG/NARCOTIC,467753
ASSAULT,837916
OTHER OFFENSES,470291
VEHICLE THEFT,848610
SUSPICIOUS OCC,814867
SUSPICIOUS OCC,111330
VEHICLE THEFT,710760
BURGLARY,183618
MISSING PERSON,186896
VANDALISM,868474
NON-CRIMINAL,212555
WARRANTS,757916
NON-CRIMINAL,649732
ASSAULT,533547
VANDALISM,390975
NON-CRIMINAL,360541
VANDALISM,766348
VANDALISM,491253
FORGERY/COUNTERFEITING,106137
OTHER OFFENSES,77179
WARRANTS,557221
VANDALISM,476643
WARRANTS,599167
OTHER OFFENSES,781964
DRUG/NARCOTIC,105827
SUSPICIOUS OCC,298685
ASSAULT,95460
OTHER OFFENSES,791846
OTHER OFFENSES,624955
WARRANTS,862955
LARCENY/THEFT,137168
FORGERY/COUNTERFEITING,609120
NON-CRIMINAL,472612
NON-CRIMINAL,698466
LARCENY/THEFT,84302
DRUG/NARCOTIC,798154
NON-CRIMINAL,315349
ASSAULT,70884
ASSAULT,355114
LARCENY/THEFT,170199
WARRANTS,33145
RECOVERED VEHICLE,569179
LARCENY/THEFT,631674
PROSTITUTION,494368
WEAPON LAWS,855223
ROBBERY,723121
NON-CRIMINAL,768868
OTHER OFFENSES,216447
MISSING PERSON,580709
FORGERY/COUNTERFEITING,778982
OTHER OFFENSES,99322
WARRANTS,53977
VEHICLE THEFT,706129
SECONDARY CODES,822438
DRUG/NARCOTIC,846580
ROBBERY,419371
VEHICLE THEFT,761190
ASSAULT,586708
OTHER OFFENSES,740370
WARRANTS,613464
SUSPICIOUS OCC,771006
ROBBERY,4797
WARRANTS,855248
OTHER OFFENSES,226634
OTHER OFFENSES,230092
NON-CRIMINAL,494371
LARCENY/THEFT,371066
LARCENY/THEFT,97516
WEAPON LAWS,731609
LARCENY/THEFT,219881
LARCENY/THEFT,150448
FRAUD,193454
PROSTITUTION,357232
SUSPICIOUS OCC,113937
LARCENY/THEFT,290523
LARCENY/THEFT,122478
FORGERY/COUNTERFEITING,781219
WARRANTS,121599
VANDALISM,49993
OTHER OFFENSES,404849
VANDALISM,57511
OTHER OFFENSES,234189
BURGLARY,194318
SUSPICIOUS OCC,234668
ROBBERY,403404
VANDALISM,7006
DRUG/NARCOTIC,291835
LARCENY/THEFT,255923
VEHICLE THEFT,72813
LARCENY/THEFT,743724
DRUG/NARCOTIC,870339
LARCENY/THEFT,211094
OTHER OFFENSES,311446
NON-CRIMINAL,438973
VANDALISM,157716
FRAUD,451227
OTHER OFFENSES,249683
VEHICLE THEFT,402761
NON-CRIMINAL,50242
LARCENY/THEFT,633862
OTHER OFFENSES,668521
ASSAULT,634799
OTHER OFFENSES,143395
NON-CRIMINAL,331785
MISSING PERSON,28718
ASSAULT,392899
LARCENY/THEFT,465948
EXTORTION,372805
DRUG/NARCOTIC,739391
LARCENY/THEFT,301918
OTHER OFFENSES,696478
FRAUD,344662
VEHICLE THEFT,412128
NON-CRIMINAL,367815
MISSING PERSON,197914
DRUG/NARCOTIC,794500
OTHER OFFENSES,350577
ASSAULT,32267
LARCENY/THEFT,248237
FORGERY/COUNTERFEITING,529125
WARRANTS,523421
LARCENY/THEFT,185962
WARRANTS,75815
DRUG/NARCOTIC,797839
NON-CRIMINAL,68971
LARCENY/THEFT,490297
ASSAULT,690835
SECONDARY CODES,827556
LARCENY/THEFT,384752
OTHER OFFENSES,404784
ASSAULT,197464
DRUG/NARCOTIC,434827
NON-CRIMINAL,240560
NON-CRIMINAL,62734
WARRANTS,379729
LARCENY/THEFT,258781
BURGLARY,978
OTHER OFFENSES,865677
ROBBERY,338794
OTHER OFFENSES,806063
OTHER OFFENSES,302117
VANDALISM,362023
OTHER OFFENSES,307441
VANDALISM,231507
BURGLARY,405624
DRUG/NARCOTIC,858803
VEHICLE THEFT,849305
DRUG/NARCOTIC,123967
LARCENY/THEFT,749098
WEAPON LAWS,426196
ASSAULT,5101
MISSING PERSON,72627
OTHER OFFENSES,210246
VANDALISM,635871
OTHER OFFENSES,349315
OTHER OFFENSES,650155
WARRANTS,705005
BURGLARY,571471
LARCENY/THEFT,490044
LARCENY/THEFT,134937
WEAPON LAWS,573445
NON-CRIMINAL,466192
OTHER OFFENSES,317768
LARCENY/THEFT,43809
OTHER OFFENSES,715763
OTHER OFFENSES,452189
VANDALISM,528131
LARCENY/THEFT,732807
OTHER OFFENSES,313316
VEHICLE THEFT,748163
BURGLARY,679754
PROSTITUTION,436963
VANDALISM,755267
LARCENY/THEFT,91152
LARCENY/THEFT,666694
LARCENY/THEFT,810791
LARCENY/THEFT,133316
OTHER OFFENSES,833781
ROBBERY,209236
ASSAULT,691400
LARCENY/THEFT,632977
VEHICLE THEFT,736447
OTHER OFFENSES,693819
LARCENY/THEFT,593263
FORGERY/COUNTERFEITING,817395
SUSPICIOUS OCC,719794
DISORDERLY CONDUCT,338727
SUSPICIOUS OCC,353749
ASSAULT,796765
TRESPASS,325436
LARCENY/THEFT,281056
LARCENY/THEFT,143934
WEAPON LAWS,413756
SUSPICIOUS OCC,840663
NON-CRIMINAL,646771
ROBBERY,373523
NON-CRIMINAL,672430
OTHER OFFENSES,54463
VANDALISM,40859
ROBBERY,301386
VEHICLE THEFT,709761
WARRANTS,591898
VANDALISM,484492
OTHER OFFENSES,133596
VANDALISM,682756
OTHER OFFENSES,166005
SUSPICIOUS OCC,501043
LARCENY/THEFT,407038
FORGERY/COUNTERFEITING,461181
LARCENY/THEFT,761603
LARCENY/THEFT,131747
FRAUD,116078
VANDALISM,496498
DRUG/NARCOTIC,340562
OTHER OFFENSES,457314
LARCENY/THEFT,129424
BURGLARY,641064
VEHICLE THEFT,754385
STOLEN PROPERTY,196042
ASSAULT,653320
LARCENY/THEFT,156424
LARCENY/THEFT,802219
NON-CRIMINAL,289984
VEHICLE THEFT,612919
FRAUD,416821
LARCENY/THEFT,367887
OTHER OFFENSES,20316
WARRANTS,242757
LARCENY/THEFT,408244
ROBBERY,499886
ASSAULT,555285
MISSING PERSON,332477
WARRANTS,776565
PROSTITUTION,773693
SEX OFFENSES FORCIBLE,473618
LARCENY/THEFT,19545
OTHER OFFENSES,344376
OTHER OFFENSES,666521
LARCENY/THEFT,203442
LARCENY/THEFT,71465
LARCENY/THEFT,513858
OTHER OFFENSES,754308
VEHICLE THEFT,779324
ASSAULT,405340
OTHER OFFENSES,161197
OTHER OFFENSES,688253
VANDALISM,801466
VEHICLE THEFT,34527
OTHER OFFENSES,411525
SECONDARY CODES,466534
LARCENY/THEFT,9235
OTHER OFFENSES,565461
DRUG/NARCOTIC,570174
ROBBERY,95402
ASSAULT,61247
VANDALISM,141334
ROBBERY,318324
OTHER OFFENSES,782433
ASSAULT,668997
NON-CRIMINAL,61253
DRUG/NARCOTIC,118218
VANDALISM,587887
VEHICLE THEFT,779409
LARCENY/THEFT,411787
KIDNAPPING,53738
LARCENY/THEFT,546643
LIQUOR LAWS,365836
DRUG/NARCOTIC,478818
LARCENY/THEFT,476845
WARRANTS,562232
LARCENY/THEFT,307426
NON-CRIMINAL,604501
OTHER OFFENSES,796406
LARCENY/THEFT,236133
OTHER OFFENSES,279004
ASSAULT,296350
ASSAULT,641665
VANDALISM,30987
BURGLARY,848421
DRUG/NARCOTIC,338813
MISSING PERSON,139159
OTHER OFFENSES,246477
BURGLARY,174289
LARCENY/THEFT,575887
DRUG/NARCOTIC,269673
OTHER OFFENSES,728501
VEHICLE THEFT,580987
DRUNKENNESS,707200
LARCENY/THEFT,561403
LARCENY/THEFT,338483
LARCENY/THEFT,594207
ASSAULT,256899
DRUG/NARCOTIC,757518
SUSPICIOUS OCC,491272
VANDALISM,295782
VEHICLE THEFT,725575
DRUG/NARCOTIC,88648
NON-CRIMINAL,37782
BURGLARY,154609
NON-CRIMINAL,260882
LARCENY/THEFT,520596
NON-CRIMINAL,260648
WARRANTS,271014
BURGLARY,122092
RUNAWAY,454685
SUSPICIOUS OCC,355586
KIDNAPPING,35253
VEHICLE THEFT,846903
NON-CRIMINAL,265154
LARCENY/THEFT,82484
BURGLARY,780813
VEHICLE THEFT,409209
OTHER OFFENSES,873257
WARRANTS,773523
LARCENY/THEFT,742260
ASSAULT,714893
OTHER OFFENSES,662774
LARCENY/THEFT,8184
BURGLARY,833775
LARCENY/THEFT,219980
ASSAULT,215288
DRUG/NARCOTIC,494836
ROBBERY,104446
OTHER OFFENSES,400942
TRESPASS,227512
ASSAULT,874326
ASSAULT,182171
LARCENY/THEFT,721944
LARCENY/THEFT,549084
LARCENY/THEFT,115794
LARCENY/THEFT,757802
ROBBERY,711258
BURGLARY,489194
VEHICLE THEFT,662106
BURGLARY,313613
MISSING PERSON,220601
DRUG/NARCOTIC,608770
ASSAULT,778915
OTHER OFFENSES,325214
LARCENY/THEFT,108062
VANDALISM,45013
VEHICLE THEFT,523733
OTHER OFFENSES,85604
OTHER OFFENSES,748104
WARRANTS,200520
DRUG/NARCOTIC,840602
OTHER OFFENSES,40038
VANDALISM,736905
LARCENY/THEFT,405927
WARRANTS,484989
LARCENY/THEFT,39809
DRUNKENNESS,453368
OTHER OFFENSES,740264
ASSAULT,809737
LARCENY/THEFT,407076
OTHER OFFENSES,543893
OTHER OFFENSES,718978
OTHER OFFENSES,131075
SEX OFFENSES FORCIBLE,635149
BURGLARY,805995
VANDALISM,506150
LARCENY/THEFT,252721
LARCENY/THEFT,629358
LARCENY/THEFT,281885
ASSAULT,645958
VANDALISM,269825
VEHICLE THEFT,672236
ROBBERY,354344
DRUG/NARCOTIC,667817
LARCENY/THEFT,133318
LARCENY/THEFT,745941
SUSPICIOUS OCC,64282
SEX OFFENSES FORCIBLE,88405
SECONDARY CODES,340381
FRAUD,829115
LARCENY/THEFT,680033
LARCENY/THEFT,218701
VEHICLE THEFT,480796
DRUG/NARCOTIC,784301
BURGLARY,721973
LARCENY/THEFT,19276
SUSPICIOUS OCC,666900
OTHER OFFENSES,874380
ASSAULT,768986
VEHICLE THEFT,874656
VANDALISM,557523
ASSAULT,655960
LARCENY/THEFT,13639
VANDALISM,260428
NON-CRIMINAL,388289
LARCENY/THEFT,683375
LARCENY/THEFT,221390
VEHICLE THEFT,232217
NON-CRIMINAL,559986
TRESPASS,768138
ASSAULT,874973
OTHER OFFENSES,474143
DRUG/NARCOTIC,620188
NON-CRIMINAL,147941
OTHER OFFENSES,443821
BURGLARY,662050
PROSTITUTION,707572
MISSING PERSON,533706
WARRANTS,860288
LARCENY/THEFT,314359
LARCENY/THEFT,663388
BURGLARY,714766
OTHER OFFENSES,379149
OTHER OFFENSES,510761
OTHER OFFENSES,338383
ASSAULT,510275
LARCENY/THEFT,627881
WARRANTS,568644
DISORDERLY CONDUCT,261072
LARCENY/THEFT,453553
ASSAULT,778102
VANDALISM,274555
LARCENY/THEFT,848519
OTHER OFFENSES,722776
OTHER OFFENSES,560781
ASSAULT,573553
ARSON,79240
BURGLARY,795734
NON-CRIMINAL,578967
MISSING PERSON,791999
LARCENY/THEFT,734963
LARCENY/THEFT,31039
SUSPICIOUS OCC,789711
OTHER OFFENSES,361647
NON-CRIMINAL,110333
LARCENY/THEFT,425742
VANDALISM,740984
OTHER OFFENSES,88976
OTHER OFFENSES,27041
LARCENY/THEFT,210114
NON-CRIMINAL,220404
VEHICLE THEFT,683285
ASSAULT,379961
VEHICLE THEFT,17238
OTHER OFFENSES,226328
LARCENY/THEFT,351218
VEHICLE THEFT,743271
LARCENY/THEFT,99059
MISSING PERSON,533027
NON-CRIMINAL,61539
TRESPASS,9221
LARCENY/THEFT,453643
OTHER OFFENSES,441790
OTHER OFFENSES,18295
FRAUD,804084
BURGLARY,652776
OTHER OFFENSES,661328
FORGERY/COUNTERFEITING,189414
LARCENY/THEFT,728307
OTHER OFFENSES,149599
ASSAULT,712970
LARCENY/THEFT,734779
LARCENY/THEFT,221197
DRIVING UNDER THE INFLUENCE,8469
LARCENY/THEFT,592636
ASSAULT,485264
OTHER OFFENSES,280385
LARCENY/THEFT,48422
WARRANTS,394666
WEAPON LAWS,586184
VEHICLE THEFT,565134
LARCENY/THEFT,172758
DRUG/NARCOTIC,871031
STOLEN PROPERTY,277380
ROBBERY,163328
VANDALISM,198712
DRUG/NARCOTIC,127653
NON-CRIMINAL,738207
LARCENY/THEFT,488548
MISSING PERSON,490082
FORGERY/COUNTERFEITING,553572
LIQUOR LAWS,98852
LARCENY/THEFT,827309
BURGLARY,414210
ASSAULT,20791
LARCENY/THEFT,336721
DRUG/NARCOTIC,431
NON-CRIMINAL,199467
OTHER OFFENSES,470503
MISSING PERSON,430934
VANDALISM,184066
LARCENY/THEFT,809075
WARRANTS,248231
ASSAULT,282305
DISORDERLY CONDUCT,378229
VANDALISM,64882
VEHICLE THEFT,527048
ASSAULT,666446
OTHER OFFENSES,196183
SUSPICIOUS OCC,400465
LARCENY/THEFT,33679
WARRANTS,311043
ROBBERY,712604
BURGLARY,331668
VANDALISM,587442
ASSAULT,299565
LARCENY/THEFT,50058
BURGLARY,715847
LARCENY/THEFT,308754
OTHER OFFENSES,618648
WEAPON LAWS,57313
ASSAULT,329445
VEHICLE THEFT,702040
LARCENY/THEFT,146895
OTHER OFFENSES,565194
MISSING PERSON,673761
BURGLARY,851151
TRESPASS,604727
LARCENY/THEFT,500782
RUNAWAY,193504
NON-CRIMINAL,195640
NON-CRIMINAL,741826
SUSPICIOUS OCC,788526
OTHER OFFENSES,12880
ASSAULT,337120
OTHER OFFENSES,820881
NON-CRIMINAL,397474
LARCENY/THEFT,83102
OTHER OFFENSES,312180
NON-CRIMINAL,575191
MISSING PERSON,866662
DRUG/NARCOTIC,674463
OTHER OFFENSES,435707
VEHICLE THEFT,615196
LARCENY/THEFT,552981
MISSING PERSON,125670
BURGLARY,134539
OTHER OFFENSES,369632
OTHER OFFENSES,438961
VEHICLE THEFT,542919
MISSING PERSON,441270
NON-CRIMINAL,585542
SUSPICIOUS OCC,55009
BURGLARY,203730
OTHER OFFENSES,150515
BURGLARY,30539
BURGLARY,218957
LARCENY/THEFT,208434
SUSPICIOUS OCC,767271
VEHICLE THEFT,682623
NON-CRIMINAL,195306
VANDALISM,125797
OTHER OFFENSES,141787
OTHER OFFENSES,257053
DRUG/NARCOTIC,569903
LARCENY/THEFT,852157
DRUG/NARCOTIC,726591
DRUG/NARCOTIC,808532
NON-CRIMINAL,761231
ASSAULT,242614
WARRANTS,519996
ASSAULT,315961
LARCENY/THEFT,575179
OTHER OFFENSES,493547
LARCENY/THEFT,628518
VANDALISM,31987
VANDALISM,744255
WARRANTS,618430
ASSAULT,818658
WARRANTS,561884
DRUNKENNESS,722673
NON-CRIMINAL,61677
NON-CRIMINAL,550934
MISSING PERSON,295458
LARCENY/THEFT,313924
OTHER OFFENSES,787711
SUSPICIOUS OCC,421760
WARRANTS,676655
WARRANTS,8467
ASSAULT,684572
OTHER OFFENSES,411760
LARCENY/THEFT,823689
SUSPICIOUS OCC,498191
ASSAULT,126086
SECONDARY CODES,424382
DRUG/NARCOTIC,807786
ASSAULT,552466
ASSAULT,552990
SUSPICIOUS OCC,667330
WARRANTS,49089
FORGERY/COUNTERFEITING,691112
STOLEN PROPERTY,566638
OTHER OFFENSES,695061
ASSAULT,766772
PROSTITUTION,316753
DRUG/NARCOTIC,750422
NON-CRIMINAL,858740
DRUG/NARCOTIC,205748
OTHER OFFENSES,590590
OTHER OFFENSES,442624
NON-CRIMINAL,822756
BURGLARY,691357
OTHER OFFENSES,580251
DRUG/NARCOTIC,493522
LARCENY/THEFT,427675
LARCENY/THEFT,251943
OTHER OFFENSES,577049
LARCENY/THEFT,448840
DRUNKENNESS,344845
NON-CRIMINAL,316880
ASSAULT,184253
ASSAULT,859038
ASSAULT,274287
LARCENY/THEFT,794132
OTHER OFFENSES,198965
DRUG/NARCOTIC,196855
VANDALISM,284590
LARCENY/THEFT,807316
NON-CRIMINAL,717728
ASSAULT,873429
VEHICLE THEFT,450778
ASSAULT,484851
LARCENY/THEFT,517286
ROBBERY,308427
OTHER OFFENSES,331167
NON-CRIMINAL,117359
OTHER OFFENSES,487991
VANDALISM,572318
MISSING PERSON,292111
LARCENY/THEFT,546064
WARRANTS,284072
KIDNAPPING,51380
NON-CRIMINAL,193302
ASSAULT,36033
BURGLARY,4546
SUSPICIOUS OCC,815835
LARCENY/THEFT,821016
ASSAULT,659062
OTHER OFFENSES,333759
SECONDARY CODES,774495
NON-CRIMINAL,59882
ASSAULT,324198
WARRANTS,234
OTHER OFFENSES,427400
VANDALISM,512286
OTHER OFFENSES,286339
WARRANTS,73145
LOITERING,544667
DRUG/NARCOTIC,269177
OTHER OFFENSES,174024
OTHER OFFENSES,287074
LARCENY/THEFT,226767
ASSAULT,236041
SUSPICIOUS OCC,356032
LARCENY/THEFT,186279
OTHER OFFENSES,293856
SUSPICIOUS OCC,263544
LARCENY/THEFT,848891
BURGLARY,561069
SUSPICIOUS OCC,876668
LARCENY/THEFT,88922
LARCENY/THEFT,140009
VEHICLE THEFT,558224
TRESPASS,281922
OTHER OFFENSES,783319
ASSAULT,403369
OTHER OFFENSES,291623
LARCENY/THEFT,575203
SUSPICIOUS OCC,81228
LARCENY/THEFT,511646
ASSAULT,324763
VANDALISM,93110
VEHICLE THEFT,617149
LARCENY/THEFT,404738
VANDALISM,502678
RUNAWAY,291237
LARCENY/THEFT,74704
STOLEN PROPERTY,535571
MISSING PERSON,3996
LARCENY/THEFT,657526
BURGLARY,772345
NON-CRIMINAL,126342
LOITERING,59425
OTHER OFFENSES,539276
FRAUD,357421
ASSAULT,149301
TRESPASS,501368
VEHICLE THEFT,74166
LARCENY/THEFT,302404
OTHER OFFENSES,457889
OTHER OFFENSES,394943
NON-CRIMINAL,717724
DRUG/NARCOTIC,108310
ASSAULT,177328
WARRANTS,615177
ROBBERY,519519
LARCENY/THEFT,35818
LARCENY/THEFT,141497
DRUG/NARCOTIC,508891
DRUG/NARCOTIC,590968
ROBBERY,126010
NON-CRIMINAL,761634
ASSAULT,184859
NON-CRIMINAL,812495
LARCENY/THEFT,299476
LARCENY/THEFT,695753
OTHER OFFENSES,803070
DRUG/NARCOTIC,236160
LARCENY/THEFT,45208
MISSING PERSON,388314
LARCENY/THEFT,803670
NON-CRIMINAL,118266
LARCENY/THEFT,301578
OTHER OFFENSES,744589
LARCENY/THEFT,28198
LARCENY/THEFT,832916
OTHER OFFENSES,132065
LIQUOR LAWS,589661
WARRANTS,801067
LARCENY/THEFT,569358
DRUG/NARCOTIC,216258
LARCENY/THEFT,624430
VANDALISM,596351
SECONDARY CODES,381169
LARCENY/THEFT,403811
LARCENY/THEFT,555794
VANDALISM,212777
